,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate
121,The Dark Knight Rises,2012,8.4,78.0,1695117,448.14,164,"Action, Drama            ",PG-13
122,CODA,2021,8.0,74.0,130130,,111,"Comedy, Drama, Music            ",PG-13
123,The Worst Person in the World,2021,7.8,90.0,64481,,128,"Comedy, Drama, Romance            ",R
124,The Fifth Element,1997,7.6,52.0,473838,63.54,126,"Action, Adventure, Sci-Fi            ",PG-13
125,Gone Girl,2014,8.1,79.0,977231,167.77,149,"Drama, Mystery, Thriller            ",R
126,The Usual Suspects,1995,8.5,77.0,1080801,23.34,106,"Crime, Drama, Mystery            ",R
127,Saving Private Ryan,1998,8.6,91.0,1382674,216.54,169,"Drama, War            ",R
128,V for Vendetta,2005,8.2,62.0,1118387,70.51,132,"Action, Drama, Sci-Fi            ",R
129,Blade Runner,1982,8.1,84.0,766710,32.87,117,"Action, Drama, Sci-Fi            ",R
130,Let the Right One In,2008,7.9,82.0,218229,2.12,114,"Drama, Fantasy, Horror            ",R
131,The Avengers,2012,8.0,69.0,1385055,623.28,143,"Action, Adventure, Sci-Fi            ",PG-13
132,The Wizard of Oz,1939,8.1,92.0,399387,2.08,102,"Adventure, Family, Fantasy            ",PG
133,The Handmaiden,2016,8.1,84.0,147075,2.01,145,"Drama, Romance, Thriller            ",Not Rated
134,"Three Billboards Outside Ebbing, Missouri",2017,8.1,88.0,504595,54.51,115,"Comedy, Crime, Drama            ",R
135,Drive,2011,7.8,78.0,637653,35.06,100,"Action, Drama            ",R
136,Shaun of the Dead,2004,7.9,76.0,558386,13.54,99,"Comedy, Horror            ",R
137,Her,2013,8.0,91.0,610905,25.57,126,"Drama, Romance, Sci-Fi            ",R
138,Ocean's Eleven,2001,7.7,74.0,573824,183.42,116,"Crime, Thriller            ",PG-13
139,What We Do in the Shadows,2014,7.6,76.0,184780,3.33,86,"Comedy, Horror            ",R
140,Pride & Prejudice,2005,7.8,82.0,296541,38.41,129,"Drama, Romance            ",PG
141,Frankenstein,1931,7.8,91.0,73772,,70,"Drama, Horror, Sci-Fi            ",Passed
142,300,2006,7.6,52.0,819194,210.61,117,"Action, Drama            ",R
143,Arrival,2016,7.9,81.0,690706,100.55,116,"Drama, Mystery, Sci-Fi            ",PG-13
144,The Social Network,2010,7.8,95.0,700756,96.96,120,"Biography, Drama            ",PG-13
145,Braveheart,1995,8.4,68.0,1034516,75.6,178,"Biography, Drama, History            ",R
146,Snatch,2000,8.2,55.0,853381,30.33,102,"Comedy, Crime            ",R
147,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65.0,546492,295.98,146,"Adventure, Family, Fantasy            ",PG-13
148,Thor: Ragnarok,2017,7.9,74.0,746939,315.06,130,"Action, Adventure, Comedy            ",PG-13
149,Terminator 2: Judgment Day,1991,8.6,75.0,1093307,204.84,137,"Action, Sci-Fi            ",R
150,Heat,1995,8.3,76.0,652463,67.44,170,"Action, Crime, Drama            ",R
151,The Godfather Part II,1974,9.0,90.0,1263017,57.3,202,"Crime, Drama            ",R
152,Jaws,1975,8.1,87.0,604712,260.0,124,"Adventure, Thriller            ",PG
153,Dunkirk,2017,7.8,94.0,654356,188.37,106,"Action, Drama, History            ",PG-13
154,Sita Ramam,2022,8.5,,41667,,163,"Action, Drama, Mystery            ",
