,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate
583,Ghost in the Shell,1995,7.9,76.0,143649,0.52,83,"Animation, Action, Crime            ",TV-MA
584,Lucky Number Slevin,2006,7.7,53.0,314081,22.49,110,"Crime, Drama, Thriller            ",R
585,Ran,1985,8.2,96.0,126029,4.14,162,"Action, Drama, War            ",R
586,Hotel Rwanda,2004,8.1,79.0,355908,23.53,121,"Biography, Drama, History            ",PG-13
587,Being There,1979,8.0,83.0,73105,30.18,130,"Comedy, Drama            ",PG
588,The Great Beauty,2013,7.7,86.0,91331,2.85,141,Drama            ,Not Rated
589,A Streetcar Named Desire,1951,7.9,97.0,108830,8.0,122,Drama            ,PG
590,Drishyam,2015,8.2,,82489,0.74,163,"Crime, Drama, Mystery            ",Not Rated
591,Billy Elliot,2000,7.7,74.0,135549,22.0,110,"Drama, Music            ",R
592,The Philadelphia Story,1940,7.9,96.0,69765,,112,"Comedy, Romance            ",Not Rated
593,The Outlaw Josey Wales,1976,7.8,69.0,74404,31.8,135,Western            ,PG
594,Changeling,2008,7.8,63.0,256181,35.74,141,"Biography, Crime, Drama            ",R
595,Serpico,1973,7.7,81.0,123956,29.8,130,"Biography, Crime, Drama            ",R
596,Ponyo,2008,7.6,86.0,144501,15.09,101,"Animation, Adventure, Comedy            ",G
597,On the Waterfront,1954,8.1,91.0,155612,9.6,108,"Crime, Drama, Thriller            ",Approved
598,From Here to Eternity,1953,7.6,85.0,47451,30.5,118,"Drama, Romance, War            ",Passed
599,Invasion of the Body Snatchers,1956,7.7,92.0,50654,,80,"Drama, Horror, Sci-Fi            ",Approved
600,Rope,1948,7.9,73.0,144337,,80,"Crime, Drama, Mystery            ",Approved
601,Kramer vs. Kramer,1979,7.8,77.0,145939,106.26,105,Drama            ,PG
602,The King of Comedy,1982,7.8,73.0,104510,2.5,109,"Comedy, Crime, Drama            ",PG
603,Ray,2004,7.7,73.0,148699,75.33,152,"Biography, Drama, Music            ",PG-13
604,October Sky,1999,7.8,71.0,91755,32.48,108,"Biography, Drama, Family            ",PG
605,Finding Neverland,2004,7.7,67.0,207008,51.68,106,"Biography, Drama, Family            ",PG
606,Ordinary People,1980,7.7,86.0,52715,54.8,124,Drama            ,R
607,Double Indemnity,1944,8.3,95.0,157688,5.72,107,"Crime, Drama, Film-Noir            ",Passed
608,Rio Bravo,1959,8.0,93.0,63077,12.54,141,Western            ,Passed
609,Jai Bhim,2021,8.9,,200801,,164,"Crime, Drama, Mystery            ",TV-MA
610,Harold and Maude,1971,7.9,62.0,77889,,91,"Comedy, Drama, Romance            ",PG
611,The Day the Earth Stood Still,1951,7.8,,82397,,92,"Drama, Sci-Fi            ",G
612,The Insider,1999,7.8,84.0,171935,28.97,157,"Biography, Drama, Thriller            ",R
613,Rebel Without a Cause,1955,7.6,89.0,91524,,111,Drama            ,PG-13
614,The Maltese Falcon,1941,8.0,97.0,159161,2.11,100,"Crime, Film-Noir, Mystery            ",Passed
615,Baahubali 2: The Conclusion,2017,8.2,,101645,20.19,167,"Action, Drama            ",Not Rated
616,Like Stars on Earth,2007,8.4,,193623,1.22,165,"Drama, Family            ",PG
617,Cabaret,1972,7.8,80.0,55584,42.77,124,"Drama, Music, Musical            ",PG
618,50/50,2011,7.6,72.0,331110,35.01,100,"Comedy, Drama, Romance            ",R
619,The Manchurian Candidate,1962,7.9,94.0,76070,,126,"Drama, Thriller            ",PG-13
620,Cinderella Man,2005,8.0,69.0,188630,61.65,144,"Biography, Drama, Romance            ",PG-13
621,The Last King of Scotland,2006,7.6,74.0,187123,17.61,123,"Biography, Drama, History            ",R
622,La dolce vita,1960,8.0,95.0,73691,19.52,174,"Comedy, Drama            ",Not Rated
623,High Noon,1952,8.0,89.0,104846,9.45,85,"Drama, Thriller, Western            ",PG
624,Togo,2019,7.9,69.0,49230,,113,"Adventure, Biography, Drama            ",PG
625,8½,1963,8.0,91.0,118418,0.05,138,Drama            ,Not Rated
626,Fiddler on the Roof,1971,8.0,67.0,43914,80.5,181,"Drama, Family, Musical            ",G
627,Kubo and the Two Strings,2016,7.7,84.0,129710,48.02,101,"Animation, Action, Adventure            ",PG
628,The Night of the Hunter,1955,8.0,99.0,90011,0.65,92,"Crime, Drama, Film-Noir            ",Not Rated
629,Charade,1963,7.9,83.0,78274,13.47,113,"Comedy, Mystery, Romance            ",Passed
630,All About Eve,1950,8.2,98.0,131775,0.01,138,Drama            ,Passed
631,Belle de Jour,1967,7.7,,45213,0.03,100,"Drama, Romance            ",R
632,Mother,2009,7.8,79.0,64855,0.55,129,"Crime, Drama, Mystery            ",R
633,Hero,2002,7.9,85.0,181905,53.71,120,"Action, Adventure, Drama            ",PG-13
634,Detachment,2011,7.7,52.0,86665,0.07,98,Drama            ,Not Rated
635,Good Bye Lenin!,2003,7.7,68.0,146742,4.06,121,"Comedy, Drama, Romance            ",R
636,Run Lola Run,1998,7.7,77.0,199463,7.27,80,"Action, Crime, Thriller            ",R
637,In the Heat of the Night,1967,7.9,75.0,76936,24.38,110,"Drama, Mystery, Thriller            ",Approved
638,Wings of Desire,1987,8.0,79.0,71576,3.33,128,"Drama, Fantasy, Romance            ",PG-13
639,King Kong,1933,7.9,90.0,86084,10.0,100,"Adventure, Horror, Sci-Fi            ",Passed
640,The Great Dictator,1940,8.4,,224052,0.29,125,"Comedy, Drama, War            ",G
641,Perfect Strangers,2016,7.7,,65773,,96,"Comedy, Drama            ",
642,It Happened One Night,1934,8.1,87.0,104444,4.36,105,"Comedy, Romance            ",Passed
643,The Third Man,1949,8.1,97.0,172132,0.45,93,"Film-Noir, Mystery, Thriller            ",Approved
644,Repulsion,1965,7.6,91.0,53796,,105,"Drama, Horror, Thriller            ",Not Rated
645,Solaris,1972,8.0,90.0,91714,,167,"Drama, Mystery, Sci-Fi            ",PG
646,Happiness,1998,7.7,81.0,70777,2.81,134,"Comedy, Drama            ",NC-17
647,Dancer in the Dark,2000,7.9,61.0,110539,4.18,140,"Crime, Drama, Musical            ",R
648,Roman Holiday,1953,8.0,78.0,139056,,118,"Comedy, Romance            ",Passed
649,Nausicaä of the Valley of the Wind,1984,8.0,86.0,169685,0.5,117,"Animation, Adventure, Sci-Fi            ",PG
650,Shoplifters,2018,7.9,93.0,76893,3.31,121,"Crime, Drama, Thriller            ",R
651,Miller's Crossing,1990,7.7,66.0,135973,5.08,115,"Crime, Drama, Thriller            ",R
652,Kaithi,2019,8.5,,32150,,145,"Action, Adventure, Crime            ",Not Rated
653,I Am Sam,2001,7.6,28.0,150680,40.31,132,Drama            ,PG-13
654,Patton,1970,7.9,91.0,102675,61.7,172,"Biography, Drama, War            ",GP
655,All That Jazz,1979,7.8,72.0,32337,37.82,123,"Drama, Music, Musical            ",R
656,The Wind Rises,2013,7.7,83.0,86505,5.21,126,"Animation, Biography, Drama            ",PG-13
657,The Taking of Pelham One Two Three,1974,7.6,68.0,31276,2.49,104,"Action, Crime, Thriller            ",R
658,Barton Fink,1991,7.6,69.0,122504,6.15,116,"Comedy, Drama, Thriller            ",R
659,The Longest Day,1962,7.7,75.0,56314,39.1,178,"Action, Drama, History            ",G
660,The Right Stuff,1983,7.8,91.0,61913,21.5,193,"Adventure, Biography, Drama            ",PG
661,The African Queen,1951,7.7,91.0,79245,0.54,105,"Adventure, Drama, Romance            ",PG
662,Mommy,2014,8.0,74.0,57418,3.49,139,Drama            ,R
663,Mary and Max,2009,8.1,,177612,,92,"Animation, Comedy, Drama            ",Not Rated
664,Paprika,2006,7.7,81.0,84003,0.88,90,"Animation, Drama, Fantasy            ",R
665,Neon Genesis Evangelion: The End of Evangelion,1997,8.0,,55230,,87,"Animation, Action, Drama            ",TV-MA
666,Letters from Iwo Jima,2006,7.9,89.0,163429,13.76,141,"Action, Adventure, Drama            ",R
667,The Day of the Jackal,1973,7.8,80.0,41452,16.06,143,"Crime, Drama, Thriller            ",PG
668,Black Book,2006,7.7,71.0,77310,4.4,145,"Drama, Thriller, War            ",R
669,Castle in the Sky,1986,8.0,78.0,166933,,125,"Animation, Adventure, Family            ",PG
670,Hannah and Her Sisters,1986,7.9,90.0,72013,40.08,107,"Comedy, Drama            ",PG-13
671,The Chaser,2008,7.8,64.0,66964,,125,"Action, Crime, Drama            ",Not Rated
672,Guess Who's Coming to Dinner,1967,7.8,63.0,45700,56.7,108,"Comedy, Drama            ",Approved
673,Days of Heaven,1978,7.8,93.0,58638,,94,"Drama, Romance            ",PG
674,Hamlet,1996,7.8,,38429,4.41,242,Drama            ,PG-13
675,Badlands,1973,7.7,93.0,73547,,94,"Action, Crime, Drama            ",PG
676,Nashville,1975,7.7,96.0,26661,14.82,160,"Comedy, Drama, Music            ",R
677,Open Your Eyes,1997,7.7,,69716,0.37,119,"Drama, Mystery, Sci-Fi            ",R
678,The Last Emperor,1987,7.7,76.0,103945,43.98,163,"Biography, Drama, History            ",PG-13
679,Wolfwalkers,2020,8.0,87.0,32488,,103,"Animation, Adventure, Family            ",PG
680,Modern Times,1936,8.5,96.0,242361,0.16,87,"Comedy, Drama, Romance            ",G
681,The Legend of 1900,1998,8.0,58.0,64776,0.26,169,"Drama, Music, Romance            ",R
682,Gangs of Wasseypur,2012,8.2,89.0,96529,,321,"Action, Comedy, Crime            ",Not Rated
683,City Lights,1931,8.5,99.0,184869,0.02,87,"Comedy, Drama, Romance            ",G
684,Fantasia,1940,7.7,96.0,97146,76.41,125,"Animation, Family, Fantasy            ",G
685,Judgment at Nuremberg,1961,8.3,60.0,78037,,179,"Drama, War            ",Approved
686,Miracle in Cell No. 7,2019,8.2,,49111,,132,Drama            ,TV-14
687,The Artist,2011,7.9,89.0,241848,44.67,100,"Comedy, Drama, Romance            ",PG-13
688,All About My Mother,1999,7.8,87.0,97437,8.26,101,Drama            ,R
689,25th Hour,2002,7.6,68.0,179444,13.06,135,Drama            ,R
690,Dragon Ball Super: Broly,2018,7.7,59.0,28098,30.71,100,"Animation, Action, Adventure            ",PG
691,A Night at the Opera,1935,7.8,,33149,2.54,96,"Comedy, Music, Musical            ",Passed
692,Once,2007,7.8,89.0,117013,9.44,86,"Drama, Music, Romance            ",R
693,Miracle on 34th Street,1947,7.9,88.0,47957,2.65,96,"Comedy, Drama, Family            ",Not Rated
694,Notorious,1946,7.9,100.0,101691,10.46,102,"Drama, Film-Noir, Romance            ",Not Rated
695,Paper Moon,1973,8.1,77.0,48113,30.93,102,"Comedy, Crime, Drama            ",PG
696,Rashomon,1950,8.2,98.0,168945,0.1,88,"Crime, Drama, Mystery            ",Not Rated
697,Manhattan,1979,7.9,83.0,140806,45.7,96,"Comedy, Drama, Romance            ",R
698,Three Colors: Blue,1993,7.9,85.0,102639,1.32,94,"Drama, Music, Mystery            ",R
699,The Celebration,1998,8.1,82.0,87526,1.65,105,Drama            ,R
700,The Man from Nowhere,2010,7.7,,70138,0.01,119,"Action, Crime, Drama            ",R
701,Strangers on a Train,1951,7.9,88.0,134494,7.63,101,"Crime, Drama, Film-Noir            ",PG
702,Sabrina,1954,7.6,72.0,65629,,113,"Comedy, Drama, Romance            ",Passed
703,Andhadhun,2018,8.2,,93413,1.37,139,"Comedy, Crime, Music            ",Not Rated
704,Bicycle Thieves,1948,8.3,,163864,0.33,89,Drama            ,Not Rated
705,The Man Who Would Be King,1975,7.8,91.0,49411,,129,"Adventure, History, War            ",PG
706,Loving Vincent,2017,7.8,62.0,58385,6.74,94,"Animation, Biography, Crime            ",PG-13
707,The Best Years of Our Lives,1946,8.1,93.0,64992,23.65,170,"Drama, Romance, War            ",Approved
708,Breaking the Waves,1996,7.8,76.0,67522,4.04,159,Drama            ,R
709,The Big Sleep,1946,7.9,86.0,86208,6.54,114,"Crime, Film-Noir, Mystery            ",Passed
710,Amour,2012,7.9,94.0,100882,6.74,127,Drama            ,PG-13
711,"South Park: Bigger, Longer & Uncut",1999,7.7,73.0,205424,52.04,81,"Animation, Comedy, Fantasy            ",R
712,The Station Agent,2003,7.6,81.0,70925,5.74,89,"Comedy, Drama            ",R
713,Dangal,2016,8.3,,191044,12.39,161,"Action, Biography, Drama            ",Not Rated
714,Fanny and Alexander,1982,8.1,100.0,64017,4.97,188,Drama            ,R
715,K.G.F: Chapter 1,2018,8.2,,86263,,156,"Action, Crime, Drama            ",Not Rated
716,Short Cuts,1993,7.7,79.0,45265,6.11,188,"Comedy, Drama            ",R
717,Wait Until Dark,1967,7.7,81.0,31168,17.55,108,Thriller            ,Not Rated
718,Song of the Sea,2014,8.0,85.0,58770,0.86,93,"Animation, Adventure, Drama            ",PG
719,Touch of Evil,1958,8.0,99.0,105001,2.24,95,"Crime, Drama, Film-Noir            ",PG-13
720,A Very Long Engagement,2004,7.6,76.0,74098,6.17,133,"Drama, Mystery, Romance            ",R
721,Zulu,1964,7.7,77.0,39594,,138,"Drama, History, War            ",Not Rated
722,Waking Life,2001,7.7,83.0,64579,2.89,99,"Animation, Drama, Fantasy            ",R
723,The 400 Blows,1959,8.1,,118402,,99,"Crime, Drama            ",Not Rated
724,The Raid 2,2014,7.9,71.0,123893,2.63,150,"Action, Crime, Thriller            ",R
725,The Killing Fields,1984,7.8,76.0,55935,34.7,141,"Biography, Drama, History            ",R
726,The Hustler,1961,8.0,90.0,82449,8.28,134,"Drama, Sport            ",Not Rated
727,Bringing Up Baby,1938,7.8,91.0,61978,,102,Comedy            ,Passed
728,Three Colors: Red,1994,8.1,100.0,103648,4.04,99,"Drama, Mystery, Romance            ",R
729,Beasts of No Nation,2015,7.7,79.0,81846,0.08,137,"Drama, War            ",TV-MA
730,The Verdict,1982,7.7,77.0,40926,54.0,129,Drama            ,R
731,The Grapes of Wrath,1940,8.1,96.0,93693,0.06,129,Drama            ,Passed
732,Control,2007,7.6,78.0,65750,0.87,122,"Biography, Drama, Music            ",R
733,Elite Squad,2007,8.0,33.0,104635,0.01,115,"Action, Crime, Drama            ",R
734,My Left Foot,1989,7.9,97.0,74856,14.74,103,"Biography, Drama            ",R
735,Fantastic Planet,1973,7.7,73.0,31900,0.19,72,"Animation, Sci-Fi            ",PG
736,The Killing,1956,8.0,91.0,90397,,84,"Crime, Drama, Film-Noir            ",Approved
737,Talk to Her,2002,7.9,86.0,112954,9.28,112,"Drama, Mystery, Romance            ",R
738,Shershaah,2021,8.4,,121243,,135,"Action, Biography, Drama            ",TV-14
739,Mirror,1975,8.0,80.0,47169,0.18,107,"Biography, Drama            ",Not Rated
740,The Muppet Christmas Carol,1992,7.7,64.0,58613,27.28,85,"Comedy, Drama, Family            ",G
741,East of Eden,1955,7.8,72.0,45941,,118,Drama            ,PG
742,Nebraska,2013,7.7,86.0,118776,17.65,115,"Adventure, Comedy, Drama            ",R
743,Raatchasan,2018,8.3,,44658,,170,"Crime, Drama, Mystery            ",Not Rated
744,Whisper of the Heart,1995,7.9,75.0,63174,,111,"Animation, Drama, Family            ",G
745,Infernal Affairs,2002,8.0,75.0,125188,0.17,101,"Action, Crime, Drama            ",R
746,Diabolique,1955,8.1,,66257,1.09,117,"Crime, Drama, Horror            ",Not Rated
747,The Straight Story,1999,8.0,86.0,91043,6.2,112,"Biography, Drama            ",G
748,In Cold Blood,1967,7.9,89.0,26867,,134,"Biography, Crime, Drama            ",R
749,Who's Afraid of Virginia Woolf?,1966,8.0,75.0,75787,,131,Drama            ,Not Rated
750,Zindagi Na Milegi Dobara,2011,8.2,,78857,3.11,155,"Comedy, Drama, Musical            ",Not Rated
751,The Quiet Man,1952,7.7,85.0,39154,10.55,129,"Comedy, Drama, Romance            ",Passed
752,Short Term 12,2013,7.9,82.0,88240,1.01,96,Drama            ,R
753,The Adventures of Robin Hood,1938,7.9,97.0,51485,3.98,102,"Action, Adventure, Romance            ",PG
754,The White Ribbon,2009,7.8,82.0,74052,2.22,144,"Drama, Mystery, Thriller            ",R
755,Cat on a Hot Tin Roof,1958,7.9,84.0,49976,17.57,108,Drama            ,Not Rated
756,The Leopard,1963,8.0,100.0,26261,,186,"Drama, History            ",PG
757,The Little Prince,2015,7.7,70.0,62555,1.34,108,"Animation, Adventure, Drama            ",PG
758,Cape Fear,1962,7.7,76.0,29640,,106,"Drama, Thriller            ",Passed
759,Ayla: The Daughter of War,2017,8.3,,40045,,125,"Biography, Drama, History            ",
760,Shadow of a Doubt,1943,7.8,94.0,66101,,108,"Film-Noir, Thriller            ",Passed
761,Sardar Udham,2021,8.4,,42344,,164,"Biography, Crime, Drama            ",TV-MA
762,United 93,2006,7.6,90.0,106979,31.57,111,"Action, Drama, History            ",R
763,Children of Heaven,1997,8.2,77.0,75151,0.93,89,"Drama, Family, Sport            ",PG
764,Once Were Warriors,1994,7.9,77.0,34621,2.2,102,"Crime, Drama            ",R
765,Joyeux Noel,2005,7.7,70.0,29972,1.05,116,"Drama, History, Music            ",PG-13
766,High and Low,1963,8.4,90.0,45201,,143,"Crime, Drama, Mystery            ",Not Rated
767,Kal Ho Naa Ho,2003,7.9,54.0,69849,1.79,186,"Comedy, Drama, Musical            ",Not Rated
768,Underground,1995,8.1,79.0,58720,0.17,167,"Comedy, Drama, Fantasy            ",Not Rated
769,Porco Rosso,1992,7.7,83.0,90307,,94,"Animation, Adventure, Comedy            ",PG
770,Lilya 4-Ever,2002,7.8,82.0,46070,0.18,109,"Crime, Drama            ",R
771,My Sassy Girl,2001,8.0,,48459,,137,"Comedy, Drama, Romance            ",Not Rated
772,Night on Earth,1991,7.7,68.0,61114,2.02,129,"Comedy, Drama            ",R
773,The Treasure of the Sierra Madre,1948,8.2,98.0,125390,5.01,126,"Adventure, Drama, Western            ",Passed
774,Secrets & Lies,1996,8.0,91.0,43776,13.42,136,"Comedy, Drama            ",R
775,Mr. Smith Goes to Washington,1939,8.1,73.0,116085,9.6,129,"Comedy, Drama            ",Passed
776,Persepolis,2007,8.0,90.0,95228,4.45,96,"Animation, Biography, Drama            ",PG-13
777,Laura,1944,7.9,,47872,4.36,88,"Drama, Film-Noir, Mystery            ",Passed
778,Z,1969,8.2,86.0,29087,0.08,127,"Crime, Drama, Thriller            ",M/PG
779,The Man Who Shot Liberty Valance,1962,8.1,94.0,76578,,123,"Drama, Western            ",Approved
780,My Name Is Khan,2010,7.9,50.0,107626,4.02,165,"Adventure, Drama, Romance            ",PG-13
781,To Be or Not to Be,1942,8.2,86.0,37757,,99,"Comedy, Romance, War            ",Passed
782,Swades,2004,8.2,,91076,1.22,189,"Drama, Musical            ",Not Rated
783,Yojimbo,1961,8.2,93.0,123312,,110,"Action, Drama, Thriller            ",Not Rated
784,"Aguirre, the Wrath of God",1972,7.8,,57669,,95,"Action, Adventure, Biography            ",Not Rated
785,Land of Mine,2015,7.8,75.0,41683,0.44,100,"Drama, History, War            ",R
786,Stagecoach,1939,7.8,93.0,49504,,96,"Adventure, Drama, Western            ",Passed
787,Anatomy of a Murder,1959,8.0,95.0,66829,11.9,161,"Drama, Mystery            ",Not Rated
788,The Wages of Fear,1953,8.2,85.0,61607,,131,"Adventure, Drama, Thriller            ",Not Rated
789,Head-On,2004,7.9,78.0,54653,,121,"Drama, Romance            ",R
790,Evil,2003,7.7,61.0,39029,0.02,113,Drama            ,Not Rated
791,Wild Strawberries,1957,8.1,88.0,107763,,91,"Drama, Romance            ",Not Rated
792,The Double Life of Véronique,1991,7.7,86.0,49136,2.0,98,"Drama, Fantasy, Music            ",R
793,The Motorcycle Diaries,2004,7.8,75.0,101740,16.78,126,"Adventure, Biography, Drama            ",R
794,Fitzcarraldo,1982,8.0,,35439,,158,"Adventure, Drama            ",PG
795,Asuran,2019,8.5,,29566,,141,"Action, Drama            ",Not Rated
796,The Battle of Algiers,1966,8.1,96.0,60563,0.06,121,"Drama, War            ",Not Rated
797,Out of the Past,1947,8.0,85.0,37748,,97,"Crime, Drama, Film-Noir            ",Not Rated
798,The Diving Bell and the Butterfly,2007,8.0,92.0,107985,5.99,112,"Biography, Drama            ",PG-13
799,Philomena,2013,7.6,77.0,100533,37.71,98,"Biography, Comedy, Drama            ",PG-13
800,"Quo Vadis, Aida?",2020,8.0,97.0,33588,,101,"Drama, History, War            ",
801,The Thin Man,1934,7.9,86.0,30164,,91,"Comedy, Mystery            ",TV-PG
802,To Have and Have Not,1944,7.8,90.0,35156,,100,"Adventure, Comedy, Film-Noir            ",Passed
803,Happy Together,1997,7.7,70.0,29973,0.19,96,"Drama, Romance            ",Not Rated
804,Bajrangi Bhaijaan,2015,8.1,,88633,8.18,163,"Action, Adventure, Comedy            ",Not Rated
805,Leviathan,2014,7.6,92.0,53881,1.09,140,"Crime, Drama            ",R
806,3-Iron,2004,7.9,72.0,55512,0.24,88,"Crime, Drama, Romance            ",R
807,Le Samouraï,1967,8.0,,52020,0.04,101,"Crime, Drama            ",GP
808,I Remember,1973,7.9,,43935,0.58,123,"Comedy, Drama            ",R
809,The World's Fastest Indian,2005,7.8,68.0,55380,5.13,127,"Biography, Drama, Sport            ",PG-13
810,The Lady Vanishes,1938,7.8,98.0,53120,,96,"Mystery, Thriller            ",Not Rated
811,The Tale of The Princess Kaguya,2013,8.0,89.0,47164,1.51,137,"Animation, Drama, Family            ",PG
812,The Conformist,1970,7.9,100.0,30880,0.54,113,Drama            ,R
813,The Red Shoes,1948,8.1,,35433,10.9,135,"Drama, Music, Romance            ",Not Rated
814,Red River,1948,7.8,,31622,,133,"Drama, Western            ",Passed
815,The 39 Steps,1935,7.6,93.0,57537,,86,"Crime, Mystery, Thriller            ",Approved
816,The Kid,1921,8.3,,126786,5.45,68,"Comedy, Drama, Family            ",Passed
817,Dilwale Dulhania Le Jayenge,1995,8.0,,70146,,181,"Drama, Romance            ",Not Rated
818,Tokyo Story,1953,8.2,,62069,,136,Drama            ,Not Rated
819,Andrei Rublev,1966,8.1,,53941,0.1,205,"Biography, Drama, History            ",R
820,A Man for All Seasons,1966,7.7,72.0,34891,28.35,120,"Biography, Drama, History            ",G
821,96,2018,8.5,,31406,,158,"Drama, Romance            ",Not Rated
822,Pather Panchali,1955,8.3,,33298,0.54,125,Drama            ,Not Rated
823,The Odd Couple,1968,7.6,86.0,35304,44.53,105,Comedy            ,Passed
824,The Passion of Joan of Arc,1928,8.2,,55207,0.02,114,"Biography, Drama, History            ",Passed
825,Sweet Smell of Success,1957,8.0,100.0,32592,,96,"Drama, Film-Noir            ",Approved
826,Harvey,1950,7.9,,55941,,104,"Comedy, Drama, Fantasy            ",Approved
827,A Prophet,2009,7.8,90.0,98924,2.08,155,"Crime, Drama            ",R
828,The Broken Circle Breakdown,2012,7.7,70.0,41400,0.18,111,"Drama, Music, Romance            ",Not Rated
829,"I, Daniel Blake",2016,7.8,78.0,60427,0.26,100,Drama            ,R
830,When Marnie Was There,2014,7.7,72.0,41107,0.77,103,"Animation, Drama, Family            ",PG
831,In a Lonely Place,1950,7.9,,32029,,94,"Drama, Film-Noir, Mystery            ",Not Rated
832,Brief Encounter,1945,8.0,92.0,40526,,86,"Drama, Romance            ",Not Rated
833,Farewell My Concubine,1993,8.1,83.0,29370,5.22,171,"Drama, Music, Romance            ",R
834,His Girl Friday,1940,7.8,,59191,0.3,92,"Comedy, Drama, Romance            ",Passed
835,The Message,1976,8.1,,47988,,177,"Biography, Drama, History            ",PG
836,Sleuth,1972,8.0,,48010,4.08,138,"Mystery, Thriller            ",PG
837,Joint Security Area,2000,7.8,58.0,30773,,110,"Action, Drama, Thriller            ",Not Rated
838,Hard Boiled,1992,7.7,,50965,,128,"Action, Crime, Thriller            ",R
839,In America,2002,7.7,76.0,43324,15.54,105,Drama            ,PG-13
840,Dreams,1990,7.7,,26768,1.96,119,"Drama, Fantasy            ",PG
841,Stalag 17,1953,8.0,84.0,56180,,120,"Comedy, Drama, War            ",Not Rated
842,The Shop Around the Corner,1940,8.0,96.0,33521,0.2,99,"Comedy, Drama, Romance            ",Not Rated
843,Scarface,1932,7.7,87.0,28309,,93,"Action, Crime, Drama            ",PG
844,Dersu Uzala,1975,8.2,,30000,,142,"Adventure, Biography, Drama            ",G
845,The Discreet Charm of the Bourgeoisie,1972,7.8,93.0,43452,0.2,102,Comedy            ,PG
846,PK,2014,8.1,,188314,10.62,153,"Comedy, Drama, Sci-Fi            ",Not Rated
847,Lagaan: Once Upon a Time in India,2001,8.1,84.0,114819,0.07,224,"Drama, Musical, Sport            ",PG
848,The Chorus,2004,7.8,56.0,62698,3.64,97,"Comedy, Drama, Music            ",PG-13
849,Inherit the Wind,1960,8.1,75.0,30514,,128,"Biography, Drama, History            ",Passed
850,Confessions,2010,7.7,,39540,,106,"Drama, Thriller            ",Not Rated
851,A Woman Under the Influence,1974,8.1,88.0,25523,13.34,155,"Drama, Romance            ",R
852,Batman: Mask of the Phantasm,1993,7.8,65.0,51522,5.62,76,"Animation, Action, Adventure            ",PG
853,The Asphalt Jungle,1950,7.8,85.0,27663,,112,"Crime, Drama, Film-Noir            ",Passed
854,Soorarai Pottru,2020,8.7,,116342,,153,Drama            ,TV-MA
855,Gully Boy,2019,7.9,65.0,40009,5.57,154,"Drama, Music, Romance            ",Not Rated
856,Cries & Whispers,1972,8.0,,34480,1.74,91,Drama            ,R
857,Ninja Scroll,1993,7.8,,37855,,94,"Animation, Action, Adventure            ",Not Rated
858,Vivre Sa Vie,1962,7.9,,32394,,85,Drama            ,Not Rated
859,"Black Cat, White Cat",1998,8.0,73.0,54171,0.35,127,"Comedy, Crime, Romance            ",R
860,Hedwig and the Angry Inch,2001,7.7,85.0,35973,3.03,95,"Comedy, Drama, Music            ",R
861,The Lunchbox,2013,7.8,76.0,56704,4.23,104,"Drama, Romance            ",PG
862,Cowboy Bebop: The Movie,2001,7.8,61.0,49209,1.0,115,"Animation, Action, Crime            ",TV-14
863,The Sea Inside,2004,8.0,74.0,82160,2.09,126,"Biography, Drama            ",PG-13
864,Jab We Met,2007,7.9,,53596,0.41,138,"Comedy, Drama, Romance            ",Not Rated
865,Nine Queens,2000,7.9,80.0,53395,1.22,114,"Crime, Drama, Thriller            ",R
866,No Man's Land,2001,7.9,84.0,47345,1.06,98,"Comedy, Drama, War            ",R
867,Taste of Cherry,1997,7.7,80.0,31525,0.31,95,Drama            ,Not Rated
868,Hiroshima Mon Amour,1959,7.9,,32648,0.09,90,"Drama, Romance            ",Not Rated
869,The Experiment,2001,7.7,60.0,94135,0.14,120,"Drama, Thriller            ",R
870,"Goodbye, Children",1987,8.0,88.0,34184,4.54,104,"Drama, War            ",PG
871,Key Largo,1948,7.7,,41394,,100,"Action, Crime, Drama            ",Not Rated
872,Nostalghia,1983,8.0,,27407,0.01,125,Drama            ,Not Rated
873,Shine,1996,7.7,87.0,54525,35.81,105,"Biography, Drama, Music            ",PG-13
874,The Sacrifice,1986,7.9,,28588,0.3,149,Drama            ,PG
875,Frost/Nixon,2008,7.7,80.0,108641,18.59,122,"Biography, Drama, History            ",R
876,Battleship Potemkin,1925,7.9,97.0,58130,0.05,66,"Drama, History, Thriller            ",Not Rated
877,My Father and My Son,2005,8.2,,87004,,112,"Drama, Family            ",Not Rated
878,Winter Sleep,2014,8.1,88.0,51927,0.17,196,Drama            ,Not Rated
879,M.S. Dhoni: The Untold Story,2016,7.9,,59185,1.78,184,"Biography, Drama, Sport            ",Not Rated
880,Kagemusha,1980,7.9,84.0,35947,,162,"Drama, History, War            ",PG
881,Mildred Pierce,1945,7.9,88.0,26262,,111,"Crime, Drama, Film-Noir            ",Approved
882,White Heat,1949,8.1,,33280,,114,"Action, Crime, Drama            ",Not Rated
883,The Magdalene Sisters,2002,7.7,83.0,27437,4.89,114,Drama            ,R
884,Tokyo Godfathers,2003,7.8,73.0,40732,0.13,92,"Animation, Adventure, Comedy            ",PG-13
885,The Salesman,2016,7.7,85.0,60855,2.4,124,Drama            ,PG-13
886,The Breadwinner,2017,7.7,78.0,25776,0.31,94,"Animation, Drama, Family            ",PG-13
